Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,39.866
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.35703367575527
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,12.9075342465753
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.8
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.4056175404138
Argentina,ARG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,70.1
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.6054144372484
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,255558142878.8
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.911
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4884127675.95708
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,285730
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,385740508436.965
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-9.9004848136464
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,9010
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,20240
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,408628795001.38
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,918298042996.465
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,14.4151557410245
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,6.90388925607922
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,77
Argentina,ARG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,13.5982843701675
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,4.7
Argentina,ARG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,22.4088763711802
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,40.0830878011993
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.892
Argentina,ARG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,25.208138080704
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.734492612232545
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,121.6001889
Argentina,ARG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,7.7
Argentina,ARG,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,103.9751808948
Argentina,ARG,Net migration,SM.POP.NETM,2344
Argentina,ARG,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,101730003.356934
Argentina,ARG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,648090050.021815
Argentina,ARG,Population density (people per sq. km of land area),EN.POP.DNST,16.580892611147
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.970053991438048
Argentina,ARG,"Population, total",SP.POP.TOTL,45376763
Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,1.2
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,42
Argentina,ARG,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.4
Argentina,ARG,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.837791442871
Argentina,ARG,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,17.4787021945702
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,110.617813110352
Argentina,ARG,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.0242600440979
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,112.416679382324
Argentina,ARG,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,78.8889
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,10.8658963820494
Argentina,ARG,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,9.39797629654303
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,..
Argentina,ARG,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,43.0976319782414
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.10041505272326
Argentina,ARG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9
Argentina,ARG,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,97.5
Argentina,ARG,"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,99.9
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Argentina,ARG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Argentina,ARG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..
