Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Argentina,ARG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Australia,AUS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9698176501115
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7027130126953
Brazil,BRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.3208587959277
China,CHN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
China,CHN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.8903136606767
France,FRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9999980735321
Germany,DEU,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Germany,DEU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100
India,IND,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.5
India,IND,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,92.1456047702605
Indonesia,IDN,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.95
Indonesia,IDN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,92.5873956949722
Italy,ITA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Italy,ITA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9170340740928
Japan,JPN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Japan,JPN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.0995295494953
"Korea, Rep.",KOR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
"Korea, Rep.",KOR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.8476930598844
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4
Mexico,MEX,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.3687045328802
Netherlands,NLD,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Netherlands,NLD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100
Russian Federation,RUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8977813720703
Russian Federation,RUS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.8807180454075
Saudi Arabia,SAU,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.99
Saudi Arabia,SAU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.6568008588509
Spain,ESP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9256097637963
Switzerland,CHE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Switzerland,CHE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9999976034203
